claim_id,entity_id
C0001,E0000
C0001,E0001
C0002,E0002
C0002,E0003
C0003,E0000
C0003,E0004
C0008,E0000
C0010,E0000
C0011,E0005
C0011,E0006
C0016,E0007
C0020,E0004
C0021,E0000
C0021,E0008
C0021,E0009
C0021,E0010
C0023,E0011
C0026,E0012
C0027,E0004
C0027,E0013
C0030,E0000
C0030,E0014
C0030,E0015
C0033,E0000
C0034,E0016
C0038,E0000
C0040,E0017
C0040,E0018
C0041,E0019
C0041,E0020
C0041,E0021
C0047,E0009
C0048,E0004
C0050,E0022
C0056,E0000
C0059,E0023
C0060,E0024
C0060,E0000
C0063,E0000
C0063,E0000
C0064,E0025
C0064,E0026
C0065,E0000
C0065,E0000
C0065,E0027
C0066,E0028
C0066,E0008
C0067,E0029
